title,provider,award,ects_credits,mode,deadline,start_date,end_date,nfq,ote_flag,skill_area,link
Supply Chain Management  (Specialist Diploma) (Online) [January 2019],University of Limerick,Minor,36,Part Time,17/1/2019,21/1/2019,21/12/2019,9,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6504
Higher Diploma in Science in Data Analytics - ONLINE - [2 Years Part-time] [January 2019] ,National College of Ireland,Higher Diploma in Science in Data Analytics - Major Award from Quality Qualifications Ireland,60,Part Time,18/1/2019,22/1/2019,29/5/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6503
Higher Diploma in Science in Data Analytics (1 Year Full-time) - Face to Face - [ICT Skills Conversion] [January 2019] Group 2,National College of Ireland,Higher Diploma in Science in Data Analytics,60,Full Time,18/1/2019,21/1/2019,31/12/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6502
Higher Diploma in Science in Data Analytics (1 Year Full-time)  - Face to Face - [ICT Skills Conversion] [January 2019] Group 1 ,National College of Ireland,Higher Diploma in Science in Data Analytics,60,Full Time,18/1/2019,21/1/2019,31/12/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6501
Higher Diploma in Science in Computing (Software Development) - ONLINE -[2 Years Part-time] [January 2019],National College of Ireland,Higher Diploma in Science in Computing - Major Award from Quality Qualifications Ireland,60,Part Time,18/1/2019,21/1/2019,29/5/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6500
Higher Diploma in Science in Web Technologies (1 Year Full-time) - ONLINE - [ICT Skills Conversion] [January 2019],National College of Ireland,Higher Diploma in Science in Web Technologies,60,Full Time,18/1/2019,21/1/2019,31/12/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6499
Postgraduate Diploma in Cyber Security Face to Face Delivery [January 2019] ,National College of Ireland,Postgraduate Diploma in Science in Cybersecurity,60,Part Time,22/1/2019,22/1/2019,31/12/2019,9,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6498
Higher National Certificate in Computing [Limerick],Griffith College,BTEC Higher National Certificate in Computing,60,Part Time,15/2/2019,15/2/2019,31/1/2020,6,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6493
Certificate in Data Analytics for Business JANUARY 2019 INTAKE - GROUP 2,Dundalk Institute of Technology,Certificate in Data Analytics for Business,10,Part Time,29/11/2018,31/1/2019,31/5/2019,7,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6492
Certificate in Data Protection (November 2018),"Institute of Technology, Carlow",NFQ Level 8 (10 credit module),10,Part Time,23/11/2018,23/11/2018,12/12/2018,8,Yes,['services'],https://springboardcourses.ie/details/6491
