title,provider,award,ects_credits,mode,deadline,start_date,end_date,nfq,ote_flag,skill_area,link
Certificate in Culinary Skills,Waterford Institute of Technology,Minor Award ,70,Part Time,13/9/2018,17/9/2018,31/5/2019,6,Yes,['services'],https://springboardcourses.ie/details/6240
Certificate in Culinary Skills,Galway-Mayo Institute of Technology,Certificate in Culinary Skills,70,Part Time,4/9/2018,10/9/2018,17/5/2019,6,Yes,['services'],https://springboardcourses.ie/details/6238
Certificate in Culinary Skills,Letterkenny Institute of Technology,Minor,70,Part Time,27/9/2018,29/9/2018,31/8/2019,6,Yes,['services'],https://springboardcourses.ie/details/6236
BSc in Computing in Data Centre Management,Letterkenny Institute of Technology,Major,70,Part Time,27/9/2018,28/9/2018,30/8/2019,7,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6235
Higher Diploma in Computing [1 year Full-time],Letterkenny Institute of Technology,Major,80,Full Time,13/9/2018,24/9/2018,14/6/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6234
Higher Diploma in Computing (Conversion course into Computing) [2 Years Part-time],Letterkenny Institute of Technology,Major,70,Part Time,14/9/2018,24/9/2018,21/8/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6233
Postgraduate Certificate in Global Capital Markets ,Irish Times Training,Level 9 Major Award,30,Part Time,4/2/2019,11/2/2019,25/11/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6232
Entrepreneurs Programme leading to an Advanced Certificate in Management Practice (Entrepreneurship),Irish Times Training,Advanced Certificate in Management Practice ,30,Part Time,5/2/2019,19/2/2019,25/6/2019,6,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6227
Quality for Medical Technologies (incorporating a Certificate in Quality (SPA) & Diploma in Professional Competence (SPA),Irish Medtech Association ,QQI Level 8 - 30 ECTS,50,Part Time,12/3/2019,25/3/2019,1/7/2019,8,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6222
Bachelors in Science in Quality and Regulatory Affairs,Irish Medtech Association ,Bachelors of Science in Quality and regulatory Affairs,60,Part Time,25/8/2018,8/9/2018,31/8/2019,8,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6220
Certificate in Mechatronics [Intake 2],"Institute of Technology, Tralee",Minor Award,30,Part Time,21/1/2019,21/1/2019,30/8/2019,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6216
BA (Hons) Hotel Management,Letterkenny Institute of Technology,Minor,60,Part Time,18/9/2018,19/9/2018,31/8/2019,8,Yes,['services'],https://springboardcourses.ie/details/6209
Certificate in Cloud Solutions Architecture [January 2019],"Institute of Technology, Tallaght",Certificate in Cloud Solutions Architecture,15,Part Time,1/2/2019,4/2/2019,30/12/2019,7,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6205
Higher Diploma in Science in Computing with Data Analytics/ Software/ IT Infrastructure [1 year Full-time] [September 2018],"Institute of Technology, Sligo",Higher Diploma,90,Full Time,18/9/2018,19/9/2018,31/8/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6197
Higher Diploma in Science in Computing (Systems and Information Technology Services) [1 year Full-time] [September 2018] ,"Institute of Technology, Carlow",NFQ Level 8,90,Full Time,17/9/2018,24/9/2018,31/8/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6195
Higher Diploma in Science in Computing [2 Years Part-time] [September 2018],Galway-Mayo Institute of Technology,Higher Diploma in Science in Computing [2 Years Part-time] [September 2018],90,Part Time,18/1/2019,21/1/2019,25/12/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6192
Higher Diploma in Science in Computing [2 Years Part-time] [September 2018],"Institute of Technology, Sligo",Higher Diploma,90,Part Time,17/9/2018,17/9/2018,31/8/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6191
Higher Diploma in Science in Computing [2 Years Part-time] [September 2018],"Institute of Technology, Carlow",NFQ Level 8,90,Part Time,5/9/2018,10/9/2018,31/8/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6190
Higher Diploma in Science in Computing [2 Years Part-time] [September 2018],Dublin Institute of Technology,Higher Diploma in Computing,90,Part Time,17/10/2018,19/10/2018,31/8/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6188
Higher Diploma in Science in Computing [2 Years Part-time] [January 2019],"Institute of Technology, Tallaght",Higher Diploma in Science in Computing.,90,Part Time,1/2/2019,4/2/2019,31/8/2021,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6185
Level 9 Certificate in Sensors for Autonomous Vehicles,"Institute of Technology, Sligo",Certificate,40,Part Time,14/9/2018,17/9/2018,31/5/2019,9,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6183
L8 Certificate in Software Development,"Institute of Technology, Sligo",Certificate,40,Part Time,19/9/2018,19/9/2018,31/5/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6182
L8 Certificate in Secure IT & Deep Machine Learning,"Institute of Technology, Sligo",Certificate,40,Part Time,14/9/2018,17/9/2018,31/5/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6181
L8 Certificate in Science in Medical Technologies Regulatory Affairs & Quality,"Institute of Technology, Sligo",Certificate,40,Part Time,21/8/2018,17/9/2018,31/5/2019,8,Yes,"['natural', 'sciences', 'mathematics', 'statistics']",https://springboardcourses.ie/details/6180
L8 Certificate in Computer Networks & Cloud Infrastructure,"Institute of Technology, Sligo",Certificate,40,Part Time,14/9/2018,17/9/2018,31/5/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6179
L7 Certificate in Lean Sigma Quality (Six Sigma Green Belt),"Institute of Technology, Sligo",Certificate,25,Part Time,14/9/2018,17/9/2018,31/5/2019,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6178
L7 Certificate in Bioprocess Engineering,"Institute of Technology, Sligo",Certificate,40,Part Time,27/8/2018,17/9/2018,31/5/2019,7,Yes,"['natural', 'sciences', 'mathematics', 'statistics']",https://springboardcourses.ie/details/6177
L7 Certificate in Biopharmaceutical Processing,"Institute of Technology, Sligo",Certificate,40,Part Time,27/8/2018,17/9/2018,31/5/2019,7,Yes,"['natural', 'sciences', 'mathematics', 'statistics']",https://springboardcourses.ie/details/6176
L6 Certificate in Validation Technologies,"Institute of Technology, Sligo",Certificate,40,Part Time,16/8/2018,17/9/2018,31/5/2019,6,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6175
L6 Certificate in Quality Assurance,"Institute of Technology, Sligo",Certificate,40,Part Time,16/8/2018,17/9/2018,31/5/2019,6,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6174
L6 Certificate in Mechanical Analysis & Automation,"Institute of Technology, Sligo",Certificate,35,Part Time,17/8/2018,17/9/2018,31/5/2019,6,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6173
Master of Science in Supply Chain Management,"Institute of Technology, Carlow",NFQ Level 9,90,Part Time,10/9/2018,10/9/2018,31/8/2019,9,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6172
Master of Science in Pharmaceutical Regulatory Affairs,"Institute of Technology, Carlow",NFQ Level 9,90,Part Time,11/9/2018,12/9/2018,31/8/2019,9,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6171
Master of Science in Information Technology Management,"Institute of Technology, Carlow",NFQ Level 9,90,Part Time,10/9/2018,10/9/2018,31/8/2019,9,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6170
Master of Science in Data Science,"Institute of Technology, Carlow",NFQ Level 9,90,Part Time,10/9/2018,17/9/2018,31/8/2019,9,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6169
Higher Diploma in Supply Chain Management,"Institute of Technology, Carlow",NFQ Level 8,60,Part Time,10/9/2018,10/9/2018,31/8/2019,8,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6168
Higher Diploma in Business in Tourism Marketing,"Institute of Technology, Carlow",NFQ Level 8,60,Part Time,10/9/2018,10/9/2018,31/8/2019,8,Yes,['services'],https://springboardcourses.ie/details/6167
Higher Diploma in Business in International Financial Services,"Institute of Technology, Carlow",NFQ Level 8,60,Part Time,10/9/2018,10/9/2018,31/8/2019,8,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6166
Higher Diploma in Arts in Digital Media Design,"Institute of Technology, Carlow",NFQ Level 8,60,Part Time,10/9/2018,10/9/2018,31/8/2019,8,Yes,"['arts', 'humanities']",https://springboardcourses.ie/details/6165
"Certificate in Purchasing Strategy, Quality Management and Lean Six Sigma","Institute of Technology, Carlow",NFQ Level 6 (60 credits),60,Part Time,10/9/2018,10/9/2018,25/9/2019,6,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6164
Certificate in Introduction to CAD & 3D Modelling,"Institute of Technology, Carlow",NFQ Level 6 (10 credit module),10,Part Time,10/9/2018,10/9/2018,31/8/2019,6,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6162
Certificate in Data Protection,"Institute of Technology, Carlow",NFQ Level 8 (10 credit module),10,Part Time,14/9/2018,19/9/2018,3/10/2018,8,Yes,['services'],https://springboardcourses.ie/details/6160
Certificate in BIM and Construction Project Management,"Institute of Technology, Carlow",NFQ LEVEL 9 (30 credit module),30,Part Time,10/9/2018,10/9/2018,21/6/2019,9,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6159
Certificate in Aircraft Acquisition & Finance (Special Purpose) [September 2018],"Institute of Technology, Carlow",NFQ Level 7 - 10 credit module,10,Part Time,19/9/2018,21/9/2018,13/10/2018,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6157
Bachelor of Engineering [Limerick Feb ],Griffith College,Bachelor of Engineering in Industrial Engineering ,60,Part Time,13/2/2019,13/2/2019,1/1/2020,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6126
Sustainable Building Technology,Galway-Mayo Institute of Technology,Special Purpose Award,50,Part Time,14/9/2018,14/9/2018,3/5/2019,8,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6109
Special Purpose Award in Business Analytics,Galway-Mayo Institute of Technology,Special Purpose Award in Business Analytics,35,Part Time,21/12/2018,7/1/2019,27/12/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6108
Quality for the Medical Device Industry,Galway-Mayo Institute of Technology,Module certificates form the Bachelor of Science in Quality for Industry (Honours) Degree,40,Part Time,3/9/2018,17/9/2018,24/5/2019,8,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6107
Post graduate certificate in Digital Media and Marketing,Galway-Mayo Institute of Technology,Post graduate Certificate,30,Part Time,25/1/2019,28/1/2019,2/12/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6106
Higher Diploma in Engineering in Building Information Modelling (BIM),Galway-Mayo Institute of Technology,Higher Diploma in Engineering in Building Information Modelling (BIM),60,Part Time,27/1/2019,15/3/2019,20/12/2019,8,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6105
Certificate in Food Innovation and Entrepreneurship,Galway-Mayo Institute of Technology,Level 9 Certificate in Food Innovation and Entrepreneurship,30,Part Time,11/2018,11/2018,2/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6103
Certificate in Data Protection,Galway-Mayo Institute of Technology,Special Purpose Award,30,Part Time,10/1/2019,1/2019,12/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6102
"Certificate in Data Modelling, Analysis and Visualisation",Galway-Mayo Institute of Technology,Special Purpose Award,10,Part Time,25/1/2019,2/2019,12/2019,7,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6101
Certificate in Business in Agricultural Entrepreneurship,Galway-Mayo Institute of Technology,Certificate in Business in Agricultural Entrepreneurship,60,Part Time,25/1/2019,25/1/2019,20/12/2019,6,Yes,"['agriculture', 'forestry', 'fisheries', 'veterinary']",https://springboardcourses.ie/details/6100
Bachelor of Engineering in Manufacturing Engineering,Galway-Mayo Institute of Technology,Bachelor of Engineering in Manufacturing Engineering (part-time),65,Part Time,18/9/2018,19/9/2018,28/6/2019,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6099
Higher Diploma in Science - Computing (Data Analytics)[2 year part-time],Galway-Mayo Institute of Technology,Higher Diploma in Science - Computing (Data Analytics)[1 year Full-time],75,Full Time,23/1/2019,24/1/2019,29/5/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6098
Diploma in Food Supply Chain Operations,Dundalk Institute of Technology,Supplemental Award,60,Part Time,20/9/2018,20/9/2018,31/8/2019,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6096
Diploma in Food and Agri-business,Dundalk Institute of Technology,Supplemental Award,60,Part Time,17/9/2018,24/9/2018,31/8/2019,7,Yes,"['agriculture', 'forestry', 'fisheries', 'veterinary']",https://springboardcourses.ie/details/6095
Certificate in Digital Marketing and Digital Media Management,Dundalk Institute of Technology,Special Purpose Award,30,Part Time,31/8/2018,25/9/2018,30/5/2019,7,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6093
Higher Diploma in Science in Data Analytics[2 Years Part-time],Dundalk Institute of Technology,Higher Diploma in Science in Data Analytics,60,Part Time,24/9/2018,1/10/2018,19/6/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6090
Bachelor of Business in Digital Marketing and Sales,Dun Laoghaire Institute of Art Design &amp; Technology,Level 8 ,60,Part Time,26/11/2018,28/11/2018,17/5/2019,8,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6088
Postgraduate Certificate in Data Science,Dublin Institute of Technology,Postgraduate Certification in Data Science,35,Part Time,31/8/2018,17/9/2018,31/5/2019,9,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6087
Postgraduate Certificate in Building Performance (Energy Efficiency in Design),Dublin Institute of Technology,Postgraduate Certificate in Building Performance (Energy Efficiency in Design),30,Part Time,18/7/2018,7/9/2018,17/5/2019,9,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6086
Postgraduate Certificate in BIM Technologies,Dublin Institute of Technology,Postgraduate Certificate in BIM Technologies,30,Part Time,1/8/2018,9/2018,5/2019,9,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6085
CPD Diploma in Data Analysis for Professionals,Dublin Institute of Technology,Continuing Professional Development (CPD) Diploma in Data Analysis for Professionals,45,Part Time,14/9/2018,17/9/2018,24/5/2019,8,Yes,"['natural', 'sciences', 'mathematics', 'statistics']",https://springboardcourses.ie/details/6084
CPD Certificate in Medical Device Decontamination,Dublin Institute of Technology,CPD in Medical Device Decontamination,15,Part Time,12/2018,1/2019,5/2019,7,Yes,"['health', 'welfare']",https://springboardcourses.ie/details/6083
BSc in Logistics and Supply Chain Management,Dublin Institute of Technology,BSc Logistics and Supply Chain Management,60,Part Time,3/9/2018,1/10/2018,30/8/2019,8,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6082
Graduate Certificate in Data Analytics,Dublin City University,Graduate Certificate in Data Analytics,38,Part Time,24/9/2018,24/9/2018,30/8/2019,9,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6078
Certificate in Software Systems and Entrepreneurship,Dublin City University,Certificate in Software Systems and Entrepreneurship,68,Part Time,27/8/2018,24/9/2018,31/8/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6072
Certificate in Information Technology,Dublin City University,Certificate in Information Technology,53,Part Time,31/8/2018,24/9/2018,31/8/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6071
Certificate in Computing & Communications Technology,Dublin City University,Certificate in Computing and Communications Technology,53,Part Time,27/8/2018,24/9/2018,31/8/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6070
HDSD Higher Diploma in Software Development [2 Years Part-time],Dublin City University,Higher Diploma Software Development,78,Part Time,11/9/2018,24/9/2018,31/8/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6068
HDID Higher Diploma in Interaction Design [2 Years Part-time],Dublin City University,Higher Diploma,73,Part Time,16/9/2018,24/9/2018,31/8/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6067
Bachelor of Business (Hons)  in International Business [January 2019],Dorset College,Bachelor of Business (Honours),60,Part Time,14/1/2019,14/1/2019,30/8/2019,8,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6044
Bachelor of Business (Hons)  in International Business [September 2018],Dorset College,Bachelor of Business (Honours),60,Part Time,17/8/2018,17/9/2018,31/5/2019,8,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6043
Special Purpose Award in Capital Markets,Cork Institute of Technology,Special Purpose Award,20,Part Time,7/9/2018,9/2018,12/2018,8,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6038
Certificate in Information Design & Development,Cork Institute of Technology,Postgraduate Certificate,30,Part Time,6/9/2018,9/2018,5/2019,9,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6037
Certificate in Validation Science,Cork Institute of Technology,Certificate in Validation Science ,10,Part Time,29/8/2018,19/9/2018,31/8/2019,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6036
Certificate in the Science of Biotechnological Manufacturing Operations,Cork Institute of Technology,10 Credit Special Purpose Award,10,Part Time,18/9/2018,19/9/2018,30/5/2019,6,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6035
Certificate in Cleanroom Manufacturing Practices ,Cork Institute of Technology,Special Purpose Award Certificate (10 credits),10,Part Time,14/9/2018,17/9/2018,31/8/2019,6,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6034
Certificate in Biopharmaceutical Supply Chain Management ,Cork Institute of Technology,Certificate in Biopharmaceutical Supply Chain Management ,20,Part Time,30/9/2018,17/9/2018,31/8/2019,8,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6033
Certificate in Automation & Control,Cork Institute of Technology,Certificate,20,Part Time,31/8/2018,9/2018,5/2019,7,Yes,"['generic', 'programmes', 'qualifications']",https://springboardcourses.ie/details/6032
Higher Diploma in Science in Data Science & Analytics[1 year Full-time],Cork Institute of Technology,Major,60,Full Time,14/9/2018,17/9/2018,14/6/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6031
Higher Diploma in Science in Cloud Computing[2 Years Part-time],Cork Institute of Technology,Higher Diploma,60,Part Time,9/2018,9/2018,6/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6030
3D Animation,Colaiste Dhulaigh College of Further Education,B.A. (Hons) In Animation,60,Part Time,21/10/2018,22/10/2018,31/5/2019,8,Yes,"['arts', 'humanities']",https://springboardcourses.ie/details/6029
Higher Diploma in Science in Computing [2 Years Part-time] [February 2019],CCT College Dublin,QQI Higher Diploma in Science in Computing,75,Part Time,21/2/2019,2/2019,12/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6019
CPD Diploma in Enterprise Development ,Bolton Trust,CPD Diploma in Enterprise Development ,35,Part Time,11/2018,23/10/2018,24/5/2019,7,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6017
Special Purpose Award in Robotics and Automation,Athlone Institute of Technology,Certificate - Level 6,40,Part Time,27/1/2019,2/2019,12/2019,6,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6016
Master of Science in Data Analytics,Athlone Institute of Technology,Master of Science in Data Analytics,90,Part Time,10/1/2019,2/2019,12/2019,9,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6014
Higher Diploma in Science in Data Analytics [2 Years Part-time],Athlone Institute of Technology,Higher Diploma in Science in Data Analytics,90,Part Time,28/1/2019,28/1/2019,1/12/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6000
